epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.413,1.38176,2.38774,1.83093,0.00038,1,0.09912,0.04799,0.27708,192.029,0.54481,0.00034,0.00034,0.00034
2,231.555,1.36914,2.02005,1.82776,0.00097,1,0.07662,0.0354,0.35164,189.418,0.66349,0.00068614,0.00068614,0.00068614
3,344.753,1.43395,1.96453,1.86631,0.08711,0.46875,0.09192,0.04475,0.34217,200.173,0.5909,0.00101802,0.00101802,0.00101802
4,457.585,1.51536,1.9757,1.91417,0.0382,0.1875,0.03192,0.01151,0.40624,184.529,0.79748,0.00133565,0.00133565,0.00133565
5,569.564,1.53904,1.78377,1.93011,0.07199,0.375,0.05048,0.01749,0.43978,173.505,0.78866,0.00163902,0.00163902,0.00163902
6,680.983,1.55026,1.80293,1.9364,0.03572,0.28125,0.03367,0.00998,0.46054,176.917,1.03455,0.001802,0.001802,0.001802
7,793.044,1.56397,1.78366,1.94559,0.04423,0.125,0.02506,0.00671,0.51496,178.785,0.97209,0.0017624,0.0017624,0.0017624
8,906.8,1.4879,1.65385,1.885,0.09793,0.5625,0.08808,0.02993,0.48559,148.267,1.00202,0.0017228,0.0017228,0.0017228
9,1035.11,1.51786,1.67956,1.90617,0.20435,0.25,0.10291,0.02191,0.64868,105.213,0.95927,0.0016832,0.0016832,0.0016832
10,1147.4,1.52296,1.52168,1.87475,0.09155,0.53125,0.07734,0.02874,0.45228,162.849,0.683,0.0016436,0.0016436,0.0016436
11,1259.62,1.51294,1.5192,1.89496,0.05542,0.25,0.04928,0.01833,0.5089,114.157,0.75368,0.001604,0.001604,0.001604
12,1372.58,1.53229,1.47323,1.88712,0.10338,0.75,0.1241,0.06331,0.38225,97.3378,0.61717,0.0015644,0.0015644,0.0015644
13,1485.98,1.47943,1.3792,1.8389,0.07634,0.46875,0.06808,0.0271,0.40823,80.4128,0.60708,0.0015248,0.0015248,0.0015248
14,1598.65,1.51694,1.42027,1.87087,0.08216,0.71875,0.08373,0.03129,0.45088,76.5687,0.69596,0.0014852,0.0014852,0.0014852
15,1711.74,1.53228,1.43714,1.86032,0.10522,0.75,0.09872,0.04321,0.40591,95.9637,0.62725,0.0014456,0.0014456,0.0014456
16,1824.83,1.393,1.32764,1.77003,0.10294,0.4375,0.11372,0.04687,0.4403,124.813,0.71319,0.001406,0.001406,0.001406
17,1939.48,1.46013,1.32188,1.79653,0.10421,0.5625,0.09259,0.04115,0.47104,59.2106,0.68538,0.0013664,0.0013664,0.0013664
18,2050.7,1.46137,1.35805,1.81958,0.11621,0.40625,0.14131,0.05819,0.39784,112.871,0.61555,0.0013268,0.0013268,0.0013268
19,2161.62,1.42483,1.29914,1.79929,0.10079,0.84375,0.16249,0.07977,0.37576,116.234,0.57568,0.0012872,0.0012872,0.0012872
20,2273.66,1.41437,1.25435,1.73759,0.09902,0.65625,0.09906,0.04297,0.39617,97.8389,0.58743,0.0012476,0.0012476,0.0012476
21,2385.51,1.38423,1.22944,1.76394,0.09969,0.59375,0.09861,0.04262,0.39855,125.822,0.59722,0.001208,0.001208,0.001208
22,2498.03,1.35559,1.19841,1.7645,0.1206,0.59375,0.13262,0.06407,0.37151,101.278,0.58406,0.0011684,0.0011684,0.0011684
23,2609.03,1.44323,1.2372,1.75499,0.09887,0.59375,0.11185,0.05591,0.37388,82.7221,0.57094,0.0011288,0.0011288,0.0011288
24,2720.05,1.35251,1.21587,1.7252,0.11719,0.6875,0.11418,0.04898,0.4016,77.0686,0.61707,0.0010892,0.0010892,0.0010892
25,2830.59,1.32652,1.15531,1.72051,0.09106,0.6875,0.08716,0.03819,0.39806,90.0978,0.58875,0.0010496,0.0010496,0.0010496
26,2941.45,1.35956,1.19433,1.74702,0.09707,0.78125,0.1022,0.04378,0.42898,71.7553,0.61774,0.00101,0.00101,0.00101
27,3052.27,1.35879,1.1643,1.70835,0.09664,0.8125,0.1101,0.05376,0.38226,103.44,0.58762,0.0009704,0.0009704,0.0009704
28,3163.2,1.33537,1.15933,1.71537,0.10624,0.8125,0.11304,0.05322,0.40994,109.212,0.60439,0.0009308,0.0009308,0.0009308
29,3274.16,1.28129,1.1228,1.64629,0.10395,0.84375,0.10893,0.05367,0.39454,80.9248,0.56732,0.0008912,0.0008912,0.0008912
30,3385.69,1.28103,1.11287,1.69314,0.11201,0.96875,0.1236,0.06477,0.37385,110.135,0.56321,0.0008516,0.0008516,0.0008516
31,3496.95,1.31219,1.08627,1.66317,0.10235,0.9375,0.11217,0.0569,0.41887,107.76,0.61243,0.000812,0.000812,0.000812
32,3608.26,1.31963,1.09635,1.67912,0.11129,0.90625,0.11766,0.05536,0.39672,113.528,0.59609,0.0007724,0.0007724,0.0007724
33,3719.61,1.22686,1.06102,1.62722,0.11318,0.96875,0.11967,0.06183,0.36519,107.943,0.55436,0.0007328,0.0007328,0.0007328
34,3831.16,1.27637,1.10167,1.67452,0.11197,0.99293,0.1149,0.06025,0.36951,118.215,0.56476,0.0006932,0.0006932,0.0006932
35,3942.43,1.27715,1.08059,1.66825,0.1123,0.9375,0.11557,0.05996,0.36389,131.584,0.56274,0.0006536,0.0006536,0.0006536
36,4053.86,1.23556,1.07276,1.63704,0.10172,0.8125,0.1136,0.05786,0.37743,100.983,0.58352,0.000614,0.000614,0.000614
37,4165.73,1.23849,1.06817,1.62687,0.10349,0.8125,0.10724,0.05854,0.35641,106.645,0.56352,0.0005744,0.0005744,0.0005744
